layer,head,program_idx,best_program,best_iou
10,7,18,program_L10H4,0.3681377715858585
10,8,18,program_L10H4,0.3234785644210349
10,9,18,program_L10H4,0.3709512245359788
10,10,84,program_L5H0,0.2366084118605098
10,11,18,program_L10H4,0.3292808916350469
11,0,18,program_L10H4,0.3652962225569659
11,1,18,program_L10H4,0.3686964601171357
11,2,136,program_L9H2,0.3830294240680628
11,3,18,program_L10H4,0.3537062549379362
11,4,18,program_L10H4,0.3663611218253806
11,5,18,program_L10H4,0.3731573592608809
11,6,18,program_L10H4,0.4019542014686461
11,7,18,program_L10H4,0.352840831899487
11,8,34,program_L11H8,0.3745971310920518
11,9,136,program_L9H2,0.3998654024613937
11,10,18,program_L10H4,0.3702587495471402
11,11,18,program_L10H4,0.3509095533422334
