layer,head,program_idx,best_program,best_iou
16,15,542,prog_L4H8,0.6854097490319073
16,16,461,prog_L2H20,0.5790767322590555
16,17,407,prog_L20H3,0.8012742491859681
16,18,461,prog_L2H20,0.6310394367243318
16,19,542,prog_L4H8,0.667245585236475
16,20,396,prog_L20H2,0.7175088275443311
16,21,489,prog_L3H17,0.6880950087374622
16,22,513,prog_L4H1,0.6667371787924747
16,23,407,prog_L20H3,0.7453382300536577
16,24,396,prog_L20H2,0.6846773565468887
16,25,396,prog_L20H2,0.8601947472796452
16,26,396,prog_L20H2,0.8570481064173032
16,27,396,prog_L20H2,0.8148614957637237
16,28,182,prog_L14H29,0.939387335974492
16,29,513,prog_L4H1,0.6319055331169345
16,30,396,prog_L20H2,0.8626471299402475
16,31,396,prog_L20H2,0.7538485299939947
17,0,396,prog_L20H2,0.8957839817299732
17,1,396,prog_L20H2,0.8987264381679541
17,2,396,prog_L20H2,0.9036536390695716
17,3,396,prog_L20H2,0.9039762334266672
17,4,396,prog_L20H2,0.8938123582794713
17,5,396,prog_L20H2,0.7804263587066683
17,6,396,prog_L20H2,0.8337293678880003
17,7,396,prog_L20H2,0.8413984066829376
17,8,513,prog_L4H1,0.5852987957140275
17,9,513,prog_L4H1,0.6797886759620193
17,10,519,prog_L4H15,0.7511413034143721
17,11,170,prog_L14H18,0.7153449894189041
17,12,396,prog_L20H2,0.8942982033402785
17,13,461,prog_L2H20,0.6319536019670963
17,14,410,prog_L20H4,0.7384165059407316
17,15,396,prog_L20H2,0.8997140125699667
17,16,461,prog_L2H20,0.5868016741254793
17,17,396,prog_L20H2,0.8503149791351301
17,18,467,prog_L2H26,0.6181011788154961
17,19,396,prog_L20H2,0.8432524644504127
17,20,396,prog_L20H2,0.8366853266809752
17,21,396,prog_L20H2,0.8912856002933971
17,22,396,prog_L20H2,0.9137901214718328
17,23,542,prog_L4H8,0.754156665002736
17,24,199,prog_L15H15,0.7457924531388074
17,25,388,prog_L20H12,0.7315705537554807
17,26,332,prog_L19H2,0.6774190674209455
17,27,386,prog_L20H10,0.7159357026571836
17,28,311,prog_L18H3,0.7058100345326698
17,29,311,prog_L18H3,0.6513815053403135
17,30,332,prog_L19H2,0.6693200809118993
17,31,199,prog_L15H15,0.6259691175625777
