layer,head,program_idx,best_program,best_iou
18,7,548,prog_L4H6,0.7543922003976479
18,8,584,prog_L6H16,0.7413140934472935
18,9,588,prog_L6H2,0.7995524994393922
18,10,246,prog_L19H14,0.8763905744085003
18,11,246,prog_L19H14,0.894046029423056
18,12,174,prog_L16H14,0.917418645812072
18,13,509,prog_L3H13,0.887353397788172
18,14,246,prog_L19H14,0.9214377707965584
18,15,250,prog_L19H18,0.96809969357041
18,16,427,prog_L25H5,0.7401730511249499
18,17,375,prog_L23H22,0.7218082481404275
18,18,509,prog_L3H13,0.9209051594829354
18,19,246,prog_L19H14,0.8761124483045378
18,20,588,prog_L6H2,0.7136390998934774
18,21,170,prog_L16H10,0.693177311656721
18,22,246,prog_L19H14,0.8076383591662527
18,23,296,prog_L20H16,0.7840123844302191
19,0,655,prog_L9H15,0.7734473034190059
19,1,635,prog_L8H19,0.6235692270780753
19,2,635,prog_L8H19,0.7731779144719081
19,3,332,prog_L21H6,0.6856218991609159
19,4,444,prog_L26H2,0.7716048580943908
19,5,170,prog_L16H10,0.7282362833760219
19,6,332,prog_L21H6,0.7267827510186
19,7,300,prog_L20H2,0.643488419260211
19,8,655,prog_L9H15,0.8529016866884076
19,9,584,prog_L6H16,0.6928248987813049
19,10,548,prog_L4H6,0.7961272356869481
19,11,548,prog_L4H6,0.7537227687354036
19,12,509,prog_L3H13,0.9343660599212832
19,13,323,prog_L21H19,0.6449858773764754
19,14,509,prog_L3H13,0.9234768706067408
19,15,618,prog_L7H4,0.9495293882133832
19,16,618,prog_L7H4,0.9170205232398876
19,17,248,prog_L19H16,0.8912665415838099
19,18,655,prog_L9H15,0.8618295041665813
19,19,125,prog_L14H13,0.7327655441465171
19,20,588,prog_L6H2,0.7406010680563058
19,21,250,prog_L19H18,0.956079302112486
19,22,618,prog_L7H4,0.9656484314103232
19,23,618,prog_L7H4,0.9514338544337294
20,0,263,prog_L19H9,0.7295416299451734
20,1,509,prog_L3H13,0.9298378420723592
20,2,509,prog_L3H13,0.929120877994572
20,3,248,prog_L19H16,0.871460011075655
20,4,248,prog_L19H16,0.9315785229293876
20,5,248,prog_L19H16,0.8934919894717123
20,6,486,prog_L2H14,0.7244033544746218
20,7,548,prog_L4H6,0.8263476257743813
20,8,246,prog_L19H14,0.8352691054115345
20,9,174,prog_L16H14,0.9455199374176722
20,10,618,prog_L7H4,0.9547729904068716
20,11,618,prog_L7H4,0.9324512791678762
20,12,357,prog_L22H7,0.6974629792582805
20,13,548,prog_L4H6,0.6635667193806096
20,14,246,prog_L19H14,0.8432244671518578
20,15,655,prog_L9H15,0.8172365835123683
20,16,248,prog_L19H16,0.9187961592334168
20,17,655,prog_L9H15,0.8024624629463627
20,18,655,prog_L9H15,0.8379303438388306
20,19,655,prog_L9H15,0.8479340554468633
20,20,655,prog_L9H15,0.836188431749273
20,21,548,prog_L4H6,0.6596679228574105
20,22,540,prog_L4H2,0.7638658748284918
20,23,299,prog_L20H19,0.750351928317036
21,0,248,prog_L19H16,0.924117505206214
21,1,655,prog_L9H15,0.9174612628882968
21,2,655,prog_L9H15,0.8680327433987151
21,3,174,prog_L16H14,0.962209643526396
21,4,174,prog_L16H14,0.971402408567794
21,5,618,prog_L7H4,0.9106386430632376
21,6,509,prog_L3H13,0.9314926562096812
21,7,250,prog_L19H18,0.9316129063071754
21,8,618,prog_L7H4,0.943961472042312
21,9,548,prog_L4H6,0.6649494323121631
21,10,548,prog_L4H6,0.7551733253835009
21,11,263,prog_L19H9,0.6325111466473815
21,12,174,prog_L16H14,0.9617296539083156
21,13,174,prog_L16H14,0.962365511212585
21,14,655,prog_L9H15,0.825949902625253
21,15,250,prog_L19H18,0.9631218337492417
21,16,655,prog_L9H15,0.8547558472659826
21,17,618,prog_L7H4,0.9802432594110988
21,18,618,prog_L7H4,0.9496777133752892
21,19,618,prog_L7H4,0.9687367332916396
21,20,509,prog_L3H13,0.9393340639857956
21,21,263,prog_L19H9,0.7662023816039054
21,22,655,prog_L9H15,0.7662749247612547
21,23,655,prog_L9H15,0.7160250734023611
22,0,250,prog_L19H18,0.9259644227890172
22,1,246,prog_L19H14,0.767744605910511
22,2,618,prog_L7H4,0.9391368377770444
22,3,174,prog_L16H14,0.9839311579270268
22,4,618,prog_L7H4,0.9762957443422412
22,5,250,prog_L19H18,0.980739252040431
22,6,248,prog_L19H16,0.8752046907151229
22,7,250,prog_L19H18,0.941988579231676
22,8,174,prog_L16H14,0.939927811025004
22,9,250,prog_L19H18,0.9822121150506276
22,10,250,prog_L19H18,0.9849009716578352
22,11,618,prog_L7H4,0.9833434507546408
22,12,655,prog_L9H15,0.8819257630380359
22,13,548,prog_L4H6,0.7454439651032668
22,14,584,prog_L6H16,0.6537180363030093
22,15,361,prog_L23H1,0.8775093086893456
22,16,496,prog_L2H23,0.8702707472286738
22,17,299,prog_L20H19,0.8883044137675224
22,18,618,prog_L7H4,0.9021535171489924
22,19,248,prog_L19H16,0.8967496451035553
22,20,509,prog_L3H13,0.88426974640185
22,21,246,prog_L19H14,0.9287429384970496
22,22,250,prog_L19H18,0.9370941236116151
22,23,509,prog_L3H13,0.8648934847547176
23,0,396,prog_L24H2,0.7799598837362417
23,1,655,prog_L9H15,0.832611109848606
23,2,445,prog_L26H20,0.7665787896062252
23,3,174,prog_L16H14,0.8759162692619041
23,4,618,prog_L7H4,0.8929036542859251
23,5,250,prog_L19H18,0.9439868579169464
23,6,246,prog_L19H14,0.8436523565993683
23,7,246,prog_L19H14,0.9085486457551
23,8,635,prog_L8H19,0.6595136556354161
23,9,250,prog_L19H18,0.9721497198897284
23,10,509,prog_L3H13,0.927357257268492
23,11,618,prog_L7H4,0.9793161069109848
23,12,618,prog_L7H4,0.9508860647215254
