k,head,program,strategy,increase,kl_div,spike
305,"(27, 22)",prog_L25H5,smart,68.71703735456,1.1529127180576324,False
306,"(1, 5)",prog_L19H14,smart,73.10140500165828,1.2890307426452636,False
307,"(18, 5)",prog_L19H14,smart,74.5290956330797,1.291640281677246,False
308,"(11, 15)",prog_L15H16,smart,74.21937394197536,1.2560218453407288,False
309,"(9, 4)",prog_L23H22,smart,73.8387055601915,1.2736953794956207,False
310,"(27, 13)",prog_L19H16,smart,78.03973532485195,1.3294973969459534,False
311,"(13, 12)",prog_L19H9,smart,79.09979552645234,1.325416898727417,False
312,"(0, 11)",prog_L2H20,smart,82.71028121835761,1.3456360697746277,False
313,"(18, 22)",prog_L19H14,smart,84.71006818206507,1.3495078682899475,False
314,"(1, 16)",prog_L17H3,smart,89.11277402433875,1.3721326112747192,False
315,"(11, 4)",prog_L23H22,smart,90.11853608104498,1.3763948202133178,False
316,"(2, 22)",prog_L25H5,smart,98.16405518135373,1.5070439577102661,False
317,"(10, 9)",prog_L6H1,smart,99.13241036250425,1.5145519256591797,False
318,"(0, 9)",prog_L15H18,smart,101.36947535320539,1.5353413462638854,False
319,"(20, 17)",prog_L9H15,smart,102.14051976395692,1.5525416254997253,False
320,"(17, 22)",prog_L9H15,smart,103.10197005181536,1.5530078172683717,False
321,"(11, 6)",prog_L22H2,smart,103.11490833334419,1.5705461382865906,False
322,"(18, 9)",prog_L6H2,smart,102.31523364624968,1.5671169757843018,False
323,"(23, 21)",prog_L25H5,smart,103.30479198614327,1.5579360246658325,False
324,"(17, 16)",prog_L9H15,smart,104.00646357316108,1.554135012626648,False
325,"(9, 15)",prog_L20H16,smart,105.22445986542475,1.5633639812469482,False
326,"(5, 20)",prog_L14H13,smart,105.11792038888707,1.5397490739822388,False
327,"(8, 19)",prog_L14H13,smart,104.60805523433855,1.5478420853614807,False
328,"(9, 21)",prog_L6H2,smart,107.76780823080188,1.524954116344452,False
329,"(16, 23)",prog_L25H5,smart,108.92058442902851,1.5081246495246887,False
330,"(19, 10)",prog_L4H6,smart,107.28648756685259,1.5002310514450072,False
331,"(25, 20)",prog_L6H6,smart,106.62814795555373,1.503307855129242,False
332,"(3, 6)",prog_L14H13,smart,119.78645849453974,1.668216586112976,False
333,"(3, 16)",prog_L23H22,smart,118.02442303467501,1.6673036813735962,False
334,"(6, 21)",prog_L19H14,smart,117.20348975852558,1.6489063620567321,False
335,"(8, 0)",prog_L25H5,smart,116.80807863616641,1.6646148800849914,False
336,"(5, 17)",prog_L25H5,smart,109.63001882157675,1.6291000723838807,False
337,"(27, 7)",prog_L26H20,smart,109.55689203580701,1.6310119152069091,False
338,"(13, 3)",prog_L20H16,smart,109.02431513213985,1.6289324522018434,False
339,"(4, 20)",prog_L6H16,smart,108.20387769357148,1.505366563796997,False
340,"(8, 1)",prog_L6H1,smart,111.87868749474373,1.5342692613601685,False
341,"(4, 6)",prog_L14H13,smart,117.89520953405568,1.543149483203888,False
342,"(13, 19)",prog_L23H22,smart,118.80865157067095,1.57963570356369,False
343,"(26, 17)",prog_L16H10,smart,118.41574767508317,1.5795715689659118,False
344,"(9, 17)",prog_L23H22,smart,117.10127286176211,1.5593880772590638,False
345,"(9, 11)",prog_L20H16,smart,114.74644351711194,1.5123316764831543,False
346,"(7, 3)",prog_L23H22,smart,114.88393551291597,1.5151617050170898,False
347,"(8, 20)",prog_L14H13,smart,116.38717249781234,1.5170684099197387,False
348,"(9, 10)",prog_L20H16,smart,118.09113683489026,1.571424424648285,False
349,"(24, 2)",prog_L25H5,smart,118.62291895218843,1.572569441795349,False
350,"(1, 22)",prog_L14H13,smart,126.72656509220153,1.6160434246063233,False
351,"(18, 23)",prog_L20H16,smart,127.93270373526568,1.6360442519187928,False
352,"(12, 16)",prog_L25H5,smart,126.62234577896386,1.6451027750968934,False
353,"(7, 22)",prog_L14H13,smart,126.60264972677817,1.5984588146209717,False
354,"(13, 17)",prog_L22H2,smart,125.56012980815035,1.601832664012909,False
355,"(1, 6)",prog_L6H19,smart,131.03327647975078,1.6439588904380797,False
356,"(3, 7)",prog_L14H13,smart,142.02658451123807,1.5929711222648621,False
357,"(23, 0)",prog_L24H2,smart,142.3941209937627,1.6025808453559875,False
358,"(6, 6)",prog_L16H10,smart,140.86751162601098,1.6126814126968383,False
359,"(15, 0)",prog_L14H13,smart,141.8077686301663,1.6192127108573913,False
360,"(17, 15)",prog_L4H6,smart,143.25522278356922,1.621680736541748,False
361,"(1, 15)",prog_L18H5,smart,158.73602946995476,1.7059930205345153,False
362,"(27, 23)",prog_L4H6,smart,159.74694829787222,1.708587384223938,False
363,"(6, 3)",prog_L8H19,smart,160.65743335276687,1.6502886295318604,False
364,"(12, 0)",prog_L22H2,smart,160.57219332367657,1.6675408482551575,False
365,"(19, 0)",prog_L9H15,smart,162.38437647709424,1.661382806301117,False
366,"(19, 2)",prog_L8H19,smart,164.75136826831846,1.6527900338172912,False
367,"(16, 18)",prog_L14H13,smart,166.83674183650365,1.6574125051498414,False
368,"(1, 3)",prog_L9H15,smart,183.90233047578886,1.777785325050354,False
369,"(17, 0)",prog_L19H14,smart,185.22524419891616,1.7812034130096435,False
370,"(27, 2)",prog_L1H11,smart,185.1693805298708,1.7965392827987672,False
371,"(25, 8)",prog_L4H6,smart,186.94574527901347,1.7709659337997437,False
372,"(4, 4)",prog_L8H19,smart,202.92537988514601,1.759872031211853,False
373,"(19, 4)",prog_L26H2,smart,202.1025828568596,1.7740047931671143,False
374,"(9, 16)",prog_L23H22,smart,200.19063225352454,1.7504547119140625,False
375,"(10, 17)",prog_L23H22,smart,201.3173230419211,1.7452605962753296,False
376,"(4, 13)",prog_L3H19,smart,200.81433562084717,1.722414207458496,False
377,"(22, 1)",prog_L19H14,smart,201.93120487112023,1.7002848863601685,False
378,"(27, 17)",prog_L20H16,smart,201.9734189354553,1.7178831815719604,False
379,"(23, 2)",prog_L26H20,smart,202.00699557397513,1.7290215253829957,False
380,"(26, 23)",prog_L20H16,smart,202.4211738564759,1.7145960330963135,False
381,"(3, 22)",prog_L22H2,smart,276.80780430721904,2.030500626564026,False
382,"(11, 2)",prog_L23H22,smart,281.610908682886,2.0710708856582642,False
383,"(21, 22)",prog_L9H15,smart,284.3414247116013,2.0724377155303957,False
384,"(21, 21)",prog_L19H9,smart,286.7948010545797,2.050814723968506,False
385,"(6, 4)",prog_L6H1,smart,308.27108356992966,2.084117817878723,False
386,"(8, 17)",prog_L26H12,smart,304.9061805497166,2.084520769119263,False
387,"(11, 10)",prog_L8H1,smart,312.9554062367627,2.094104290008545,False
388,"(12, 18)",prog_L14H13,smart,314.0388400932284,2.0877673387527467,False
389,"(7, 21)",prog_L14H13,smart,324.89449323306354,2.039072322845459,False
390,"(20, 22)",prog_L4H2,smart,325.12549999133455,2.048485445976257,False
391,"(0, 2)",prog_L15H18,smart,326.01841937225043,2.104953742027283,False
392,"(16, 7)",prog_L6H2,smart,329.1621835779614,2.1074634313583376,False
393,"(14, 21)",prog_L25H5,smart,338.3775830652203,2.1302687883377076,False
394,"(10, 8)",prog_L6H1,smart,335.7804408851993,2.1105989456176757,False
395,"(13, 21)",prog_L23H22,smart,337.2185799784303,2.1071493148803713,False
396,"(11, 17)",prog_L4H6,smart,333.9856586660794,2.0878331661224365,False
397,"(5, 19)",prog_L14H13,smart,327.26471586499,2.0483282566070558,False
398,"(12, 8)",prog_L23H22,smart,327.284021213025,2.052057218551636,False
399,"(10, 16)",prog_L14H13,smart,319.7672603558645,2.0381486892700194,False
400,"(15, 16)",prog_L15H16,smart,324.86534036176954,2.041520619392395,False
401,"(6, 11)",prog_L23H22,smart,334.9254763537112,2.092021369934082,False
402,"(7, 19)",prog_L6H1,smart,328.728985332382,2.0718318462371825,False
403,"(6, 20)",prog_L14H13,smart,336.75826436923546,2.093960905075073,False
404,"(21, 10)",prog_L4H6,smart,334.1265028377592,2.092513680458069,False
405,"(18, 7)",prog_L4H6,smart,335.8291697559293,2.0981858015060424,False
406,"(4, 7)",prog_L23H22,smart,319.0226098359691,2.1398268938064575,False
407,"(8, 13)",prog_L23H22,smart,309.33884870562605,2.120850682258606,False
408,"(19, 11)",prog_L4H6,smart,312.1504656876215,2.127462363243103,False
409,"(11, 7)",prog_L23H22,smart,316.9317910906405,2.1563843488693237,False
410,"(1, 4)",prog_L9H15,smart,339.6092871773076,2.2329909563064576,False
411,"(25, 6)",prog_L6H16,smart,339.3192945059962,2.24861626625061,False
412,"(4, 1)",prog_L3H19,smart,316.84336740241537,2.1697179555892943,False
413,"(1, 13)",prog_L3H19,smart,317.74311067185334,2.18569495677948,False
414,"(13, 5)",prog_L23H22,smart,323.05021971519045,2.1907716751098634,False
415,"(4, 23)",prog_L14H13,smart,362.2884363147037,2.433962678909302,False
416,"(12, 11)",prog_L23H22,smart,364.1829591755059,2.4586103200912475,False
417,"(26, 0)",prog_L15H16,smart,365.10811175923834,2.447785830497742,False
418,"(20, 23)",prog_L20H19,smart,366.6437587979038,2.4499573707580566,False
419,"(16, 4)",prog_L8H7,smart,367.1553335869401,2.46233594417572,False
420,"(3, 11)",prog_L25H5,smart,403.0962171923482,2.6480376958847045,False
421,"(23, 16)",prog_L19H9,smart,405.99583636898194,2.64451003074646,False
422,"(5, 3)",prog_L20H16,smart,377.2780062497103,2.52388916015625,False
423,"(15, 21)",prog_L14H13,smart,378.48029077458574,2.5307044267654417,False
424,"(5, 1)",prog_L14H13,smart,376.6772879154252,2.606570267677307,False
425,"(0, 3)",prog_L6H21,smart,423.42224004879756,2.704857683181763,False
426,"(24, 16)",prog_L25H5,smart,418.45841143357165,2.7088497400283815,False
427,"(5, 14)",prog_L6H16,smart,417.63635949325715,2.6890050649642943,False
428,"(6, 0)",prog_L14H13,smart,446.40539539135534,2.8954902410507204,False
429,"(11, 9)",prog_L23H22,smart,449.5599859022817,2.9354238986968992,False
430,"(22, 13)",prog_L4H6,smart,448.7104631200189,2.9453577756881715,False
431,"(7, 12)",prog_L14H13,smart,459.39704489615167,2.8901727199554443,False
432,"(10, 2)",prog_L23H22,smart,454.05796962540836,2.8894553899765016,False
433,"(4, 12)",prog_L6H1,smart,442.7554321868744,2.824738931655884,False
434,"(14, 16)",prog_L14H13,smart,449.9179276554476,2.8439181804656983,False
435,"(9, 22)",prog_L23H22,smart,449.02597377582896,2.8111491441726684,False
436,"(23, 20)",prog_L14H13,smart,451.84426424739115,2.8170284748077394,False
437,"(7, 11)",prog_L6H2,smart,456.37844529503417,2.8267346620559692,False
438,"(18, 8)",prog_L6H16,smart,466.4561229924777,2.852120351791382,False
439,"(6, 12)",prog_L3H19,smart,487.25539128036473,2.9695164442062376,False
440,"(26, 1)",prog_L6H16,smart,492.14045120664844,2.9598677158355713,False
441,"(8, 23)",prog_L23H22,smart,500.5502303479402,3.007622003555298,False
442,"(19, 20)",prog_L6H2,smart,501.45418497877034,3.005501556396484,False
443,"(23, 15)",prog_L6H16,smart,503.41061856976705,3.0065014362335205,False
444,"(18, 16)",prog_L25H5,smart,501.2033842159932,3.0110085248947143,False
445,"(24, 7)",prog_L23H9,smart,504.50567762643243,3.0093808650970457,False
446,"(2, 23)",prog_L3H19,smart,548.029376432734,3.1272655963897704,False
447,"(26, 2)",prog_L6H2,smart,551.05061732327,3.1284765243530273,False
448,"(8, 12)",prog_L8H19,smart,546.8367077481936,3.1032331943511964,False
449,"(15, 4)",prog_L16H10,smart,538.4605843408132,3.108835458755493,False
450,"(14, 8)",prog_L8H1,smart,540.9364426529224,3.103035545349121,False
451,"(7, 23)",prog_L23H22,smart,566.1169668341172,3.2011245250701905,False
452,"(0, 14)",prog_L25H22,smart,580.624810653085,2.888762855529785,False
453,"(13, 0)",prog_L23H22,smart,577.0050327761467,2.9071161270141603,False
454,"(13, 23)",prog_L6H2,smart,607.5001982832929,2.947851800918579,False
455,"(12, 21)",prog_L11H15,smart,612.2378689739514,2.959012746810913,False
456,"(27, 6)",prog_L19H21,smart,616.3683170783643,2.9407021760940553,False
457,"(5, 4)",prog_L20H16,smart,612.8812000492014,2.9733129501342774,False
458,"(13, 2)",prog_L14H13,smart,628.1441897659578,2.980188751220703,False
459,"(3, 2)",prog_L14H13,smart,716.1263278349844,3.2593663215637205,False
460,"(14, 18)",prog_L26H12,smart,726.3554589733776,3.263837385177612,False
461,"(16, 11)",prog_L4H6,smart,733.048542177228,3.2641828060150146,False
462,"(6, 16)",prog_L8H19,smart,723.7942932697063,3.2165568828582765,False
463,"(6, 22)",prog_L19H14,smart,738.5226054963603,3.224079942703247,False
464,"(4, 17)",prog_L14H13,smart,679.7015181400208,2.9129838943481445,False
465,"(19, 19)",prog_L14H13,smart,681.3389388632829,2.941865634918213,False
466,"(12, 9)",prog_L22H2,smart,685.9943955907409,2.9336222648620605,False
467,"(7, 14)",prog_L23H22,smart,684.4034663722769,2.9962520599365234,False
468,"(9, 20)",prog_L3H19,smart,712.4231765782986,3.03104681968689,False
469,"(13, 18)",prog_L23H22,smart,715.6592888256021,3.04115252494812,False
470,"(23, 23)",prog_L4H6,smart,721.165709254324,3.0346656322479246,False
471,"(20, 0)",prog_L19H9,smart,712.3860417633748,3.034691047668457,False
472,"(15, 5)",prog_L6H16,smart,716.7145636703711,3.070771884918213,False
473,"(5, 21)",prog_L23H22,smart,713.7000774104451,3.0250529289245605,False
474,"(11, 3)",prog_L23H22,smart,727.10362281504,2.9842419624328613,False
475,"(19, 5)",prog_L16H10,smart,741.8100937449889,3.033775520324707,False
476,"(9, 13)",prog_L23H22,smart,725.6782622932784,3.0259858131408692,False
477,"(5, 10)",prog_L16H10,smart,722.7269933080763,2.9988795280456544,False
478,"(7, 15)",prog_L23H22,smart,754.7072698577012,3.124296712875366,False
479,"(19, 6)",prog_L21H6,smart,751.9352857872109,3.120223379135132,False
480,"(10, 6)",prog_L6H1,smart,758.9162357766203,3.166865825653076,False
481,"(4, 5)",prog_L23H22,smart,799.4389395468397,3.2917521953582765,False
482,"(7, 10)",prog_L4H6,smart,841.3581843162992,3.303425598144531,False
483,"(16, 6)",prog_L14H13,smart,835.7896467624239,3.296040678024292,False
484,"(11, 8)",prog_L23H22,smart,828.399632951738,3.240948963165283,False
485,"(20, 6)",prog_L2H14,smart,830.5988251295506,3.2520349740982057,False
486,"(16, 1)",prog_L16H10,smart,836.096599743962,3.2593694925308228,False
487,"(24, 12)",prog_L6H16,smart,830.4719412194485,3.263179135322571,False
488,"(18, 17)",prog_L23H22,smart,831.5992030116664,3.2846723318099977,False
489,"(5, 2)",prog_L14H13,smart,852.1531017931578,3.375130867958069,False
490,"(14, 11)",prog_L6H2,smart,861.1551295299681,3.415147805213928,False
491,"(26, 20)",prog_L15H16,smart,861.7608894460296,3.384717416763306,False
492,"(9, 18)",prog_L23H22,smart,859.3111960893372,3.3846056938171385,False
493,"(26, 19)",prog_L16H4,smart,852.6341662511517,3.3797792911529543,False
494,"(16, 9)",prog_L8H19,smart,844.1081504732274,3.3673303604125975,False
495,"(12, 1)",prog_L22H2,smart,843.104767784944,3.3737221479415895,False
496,"(27, 20)",prog_L0H23,smart,835.0544102407754,3.3974921464920045,False
497,"(18, 6)",prog_L20H21,smart,829.6751098366776,3.395742106437683,False
498,"(21, 23)",prog_L9H15,smart,830.3683971984261,3.397841739654541,False
499,"(12, 14)",prog_L23H22,smart,834.4862911657885,3.429374098777771,False
500,"(5, 13)",prog_L23H22,smart,819.1377471520356,3.4495960235595704,False
501,"(16, 20)",prog_L23H22,smart,816.3007219501964,3.436166262626648,False
502,"(7, 18)",prog_L20H16,smart,786.5538460615732,3.302250528335571,False
503,"(13, 1)",prog_L23H22,smart,784.6236312801193,3.285222625732422,False
504,"(13, 10)",prog_L8H1,smart,792.9814431634342,3.3036027193069457,False
505,"(18, 20)",prog_L6H2,smart,800.2354699945132,3.321519470214844,False
506,"(10, 1)",prog_L6H1,smart,808.7501608411833,3.327692079544067,False
507,"(6, 14)",prog_L23H22,smart,813.2631489990779,3.307775592803955,False
508,"(1, 21)",prog_L22H2,smart,865.7907397301617,3.300237703323364,False
509,"(5, 23)",prog_L14H13,smart,890.5026155069679,3.3033387899398803,False
510,"(16, 8)",prog_L23H22,smart,887.2065146630852,3.2796390771865847,False
511,"(4, 19)",prog_L14H13,smart,968.7270785150482,3.305736780166626,False
512,"(5, 11)",prog_L23H22,smart,944.6425777168282,3.2744219303131104,False
513,"(15, 9)",prog_L8H1,smart,935.35120059648,3.26883749961853,False
514,"(9, 0)",prog_L23H22,smart,904.9046486340994,3.2236064434051515,False
515,"(8, 4)",prog_L14H13,smart,894.8593015164357,3.2715244054794312,False
516,"(13, 4)",prog_L23H22,smart,894.6995820186843,3.2774399518966675,False
517,"(10, 10)",prog_L6H1,smart,891.8253748236168,3.2530015230178835,False
518,"(14, 10)",prog_L14H13,smart,905.1095189156534,3.2690600872039797,False
519,"(10, 20)",prog_L6H19,smart,921.0822026966489,3.308616209030151,False
520,"(17, 5)",prog_L3H19,smart,921.203352037418,3.3162899017333984,False
521,"(4, 3)",prog_L14H13,smart,964.973986282365,3.349166655540466,False
522,"(12, 10)",prog_L23H22,smart,962.217154653433,3.3672671794891356,False
523,"(7, 16)",prog_L8H1,smart,942.6772050678716,3.315486526489258,False
524,"(26, 18)",prog_L10H4,smart,940.0540882595135,3.3055877685546875,False
525,"(9, 8)",prog_L21H21,smart,948.8971138486847,3.2937111854553223,False
526,"(4, 18)",prog_L23H22,smart,945.3847118255899,3.274197721481323,False
527,"(27, 18)",prog_L26H20,smart,958.8919322090167,3.2984275817871094,False
528,"(6, 17)",prog_L14H13,smart,951.0541800962089,3.343639779090881,False
529,"(25, 23)",prog_L8H19,smart,954.7098970320885,3.3409268617630006,False
530,"(6, 8)",prog_L14H13,smart,980.1176517639266,3.3546053647994993,False
531,"(20, 12)",prog_L22H7,smart,982.7325489994477,3.358806014060974,False
532,"(14, 20)",prog_L23H22,smart,1000.5413774200467,3.3794157981872557,False
533,"(7, 6)",prog_L8H1,smart,965.3836566966036,3.299233102798462,False
534,"(11, 20)",prog_L23H22,smart,986.190929521275,3.3320689678192137,False
535,"(9, 12)",prog_L23H22,smart,968.5095362509234,3.312223720550537,False
536,"(8, 18)",prog_L14H13,smart,978.0686181344024,3.315496826171875,False
537,"(18, 21)",prog_L16H10,smart,994.1891655380674,3.33386607170105,False
538,"(14, 15)",prog_L23H22,smart,1009.4965801632322,3.380983352661133,False
539,"(19, 9)",prog_L6H16,smart,1011.3995564533773,3.378242921829224,False
540,"(12, 7)",prog_L22H2,smart,1013.7394904605056,3.3731280326843263,False
541,"(5, 9)",prog_L26H21,smart,1056.9394355774427,3.3112330436706543,False
542,"(23, 17)",prog_L6H16,smart,1061.8107179512892,3.3181998252868654,False
543,"(7, 1)",prog_L22H1,smart,1093.790515406357,3.405811834335327,False
544,"(3, 21)",prog_L23H22,smart,1132.1243294547808,3.477421283721924,False
545,"(24, 9)",prog_L19H14,smart,1134.7681640838978,3.4617982387542723,False
546,"(26, 7)",prog_L8H19,smart,1138.8206909258222,3.4686148405075072,False
547,"(10, 18)",prog_L6H19,smart,1157.1391115787142,3.4850417375564575,False
548,"(27, 4)",prog_L26H20,smart,1151.8189903367336,3.4935739040374756,False
549,"(25, 7)",prog_L11H15,smart,1165.5650761045445,3.489446592330933,False
550,"(8, 3)",prog_L8H1,smart,1144.7870117142434,3.4417617321014404,False
551,"(18, 0)",prog_L23H12,smart,1153.5693253039294,3.452174210548401,False
552,"(19, 3)",prog_L21H6,smart,1160.6910149075318,3.4408373117446898,False
553,"(27, 19)",prog_L4H7,smart,1149.2228712982383,3.446381425857544,False
554,"(8, 9)",prog_L8H19,smart,1149.0394108600165,3.4539690017700195,False
555,"(8, 21)",prog_L23H22,smart,1174.015826640229,3.5040218353271486,False
556,"(13, 15)",prog_L6H19,smart,1177.6126925907088,3.5478546142578127,False
557,"(9, 1)",prog_L23H22,smart,1212.2120167737871,3.593903660774231,False
558,"(6, 15)",prog_L8H1,smart,1240.7737931929757,3.6853158235549928,False
559,"(8, 11)",prog_L23H22,smart,1264.9064989596918,3.741337847709656,False
560,"(24, 6)",prog_L8H19,smart,1256.097477688289,3.7481707096099854,False
