layer,head,k,iou_score,program_idxs_used
0,5,6,0.538,37|50|48|51|8|17
0,5,7,0.537,37|50|48|51|8|17|43
0,5,8,0.537,37|50|48|51|8|17|43|33
0,5,9,0.539,37|50|48|51|8|17|43|33|9
0,5,10,0.539,37|50|48|51|8|17|43|33|9|62
0,5,11,0.539,37|50|48|51|8|17|43|33|9|62|47
0,5,12,0.557,37|50|48|51|8|17|43|33|9|62|47|52
0,5,13,0.557,37|50|48|51|8|17|43|33|9|62|47|52|1
0,5,14,0.555,37|50|48|51|8|17|43|33|9|62|47|52|1|6
0,5,15,0.555,37|50|48|51|8|17|43|33|9|62|47|52|1|6|21
0,5,16,0.555,37|50|48|51|8|17|43|33|9|62|47|52|1|6|21|68
0,5,17,0.586,37|50|48|51|8|17|43|33|9|62|47|52|1|6|21|68|0
0,5,18,0.586,37|50|48|51|8|17|43|33|9|62|47|52|1|6|21|68|0|5
0,5,19,0.586,37|50|48|51|8|17|43|33|9|62|47|52|1|6|21|68|0|5|19
0,5,20,0.586,37|50|48|51|8|17|43|33|9|62|47|52|1|6|21|68|0|5|19|41
0,6,1,0.266,62
0,6,2,0.276,62|9
0,6,3,0.284,62|9|47
0,6,4,0.319,62|9|47|1
0,6,5,0.321,62|9|47|1|6
0,6,6,0.351,62|9|47|1|6|21
0,6,7,0.352,62|9|47|1|6|21|0
0,6,8,0.352,62|9|47|1|6|21|0|41
0,6,9,0.531,62|9|47|1|6|21|0|41|69
0,6,10,0.528,62|9|47|1|6|21|0|41|69|42
0,6,11,0.53,62|9|47|1|6|21|0|41|69|42|49
0,6,12,0.53,62|9|47|1|6|21|0|41|69|42|49|5
0,6,13,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33
0,6,14,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33|17
0,6,15,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33|17|68
0,6,16,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33|17|68|55
0,6,17,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33|17|68|55|23
0,6,18,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33|17|68|55|23|56
0,6,19,0.526,62|9|47|1|6|21|0|41|69|42|49|5|33|17|68|55|23|56|27
0,6,20,0.527,62|9|47|1|6|21|0|41|69|42|49|5|33|17|68|55|23|56|27|64
0,7,1,0.187,62
0,7,2,0.19,62|9
0,7,3,0.191,62|9|44
0,7,4,0.2,62|9|44|17
0,7,5,0.258,62|9|44|17|47
0,7,6,0.258,62|9|44|17|47|1
0,7,7,0.277,62|9|44|17|47|1|21
0,7,8,0.286,62|9|44|17|47|1|21|6
0,7,9,0.286,62|9|44|17|47|1|21|6|0
0,7,10,0.286,62|9|44|17|47|1|21|6|0|5
0,7,11,0.286,62|9|44|17|47|1|21|6|0|5|41
0,7,12,0.32,62|9|44|17|47|1|21|6|0|5|41|33
0,7,13,0.32,62|9|44|17|47|1|21|6|0|5|41|33|42
0,7,14,0.458,62|9|44|17|47|1|21|6|0|5|41|33|42|69
0,7,15,0.463,62|9|44|17|47|1|21|6|0|5|41|33|42|69|49
0,7,16,0.463,62|9|44|17|47|1|21|6|0|5|41|33|42|69|49|68
0,7,17,0.481,62|9|44|17|47|1|21|6|0|5|41|33|42|69|49|68|37
0,7,18,0.482,62|9|44|17|47|1|21|6|0|5|41|33|42|69|49|68|37|52
0,7,19,0.564,62|9|44|17|47|1|21|6|0|5|41|33|42|69|49|68|37|52|43
0,7,20,0.568,62|9|44|17|47|1|21|6|0|5|41|33|42|69|49|68|37|52|43|51
0,8,1,0.262,62
0,8,2,0.268,62|9
0,8,3,0.278,62|9|47
0,8,4,0.3,62|9|47|1
0,8,5,0.303,62|9|47|1|6
0,8,6,0.336,62|9|47|1|6|21
0,8,7,0.336,62|9|47|1|6|21|41
0,8,8,0.336,62|9|47|1|6|21|41|0
0,8,9,0.519,62|9|47|1|6|21|41|0|69
0,8,10,0.516,62|9|47|1|6|21|41|0|69|42
0,8,11,0.516,62|9|47|1|6|21|41|0|69|42|17
0,8,12,0.516,62|9|47|1|6|21|41|0|69|42|17|5
0,8,13,0.522,62|9|47|1|6|21|41|0|69|42|17|5|49
0,8,14,0.518,62|9|47|1|6|21|41|0|69|42|17|5|49|33
0,8,15,0.518,62|9|47|1|6|21|41|0|69|42|17|5|49|33|52
0,8,16,0.518,62|9|47|1|6|21|41|0|69|42|17|5|49|33|52|68
0,8,17,0.519,62|9|47|1|6|21|41|0|69|42|17|5|49|33|52|68|43
0,8,18,0.528,62|9|47|1|6|21|41|0|69|42|17|5|49|33|52|68|43|37
0,8,19,0.528,62|9|47|1|6|21|41|0|69|42|17|5|49|33|52|68|43|37|59
0,8,20,0.528,62|9|47|1|6|21|41|0|69|42|17|5|49|33|52|68|43|37|59|50
0,9,1,0.378,62
0,9,2,0.393,62|9
0,9,3,0.386,62|9|47
0,9,4,0.407,62|9|47|1
0,9,5,0.412,62|9|47|1|6
0,9,6,0.455,62|9|47|1|6|21
0,9,7,0.786,62|9|47|1|6|21|69
0,9,8,0.783,62|9|47|1|6|21|69|42
0,9,9,0.783,62|9|47|1|6|21|69|42|0
0,9,10,0.783,62|9|47|1|6|21|69|42|0|41
0,9,11,0.784,62|9|47|1|6|21|69|42|0|41|49
0,9,12,0.784,62|9|47|1|6|21|69|42|0|41|49|5
0,9,13,0.788,62|9|47|1|6|21|69|42|0|41|49|5|33
0,9,14,0.788,62|9|47|1|6|21|69|42|0|41|49|5|33|68
0,9,15,0.788,62|9|47|1|6|21|69|42|0|41|49|5|33|68|17
0,9,16,0.788,62|9|47|1|6|21|69|42|0|41|49|5|33|68|17|52
0,9,17,0.789,62|9|47|1|6|21|69|42|0|41|49|5|33|68|17|52|55
0,9,18,0.789,62|9|47|1|6|21|69|42|0|41|49|5|33|68|17|52|55|59
0,9,19,0.79,62|9|47|1|6|21|69|42|0|41|49|5|33|68|17|52|55|59|64
0,9,20,0.79,62|9|47|1|6|21|69|42|0|41|49|5|33|68|17|52|55|59|64|30
0,10,1,0.346,62
0,10,2,0.356,62|9
