layer,head,k,iou_score,program_idxs_used
0,5,6,0.456,69|42|1|6|21|47
0,5,7,0.472,69|42|1|6|21|47|41
0,5,8,0.473,69|42|1|6|21|47|41|0
0,5,9,0.473,69|42|1|6|21|47|41|0|49
0,5,10,0.474,69|42|1|6|21|47|41|0|49|5
0,5,11,0.476,69|42|1|6|21|47|41|0|49|5|70
0,5,12,0.477,69|42|1|6|21|47|41|0|49|5|70|9
0,5,13,0.478,69|42|1|6|21|47|41|0|49|5|70|9|62
0,5,14,0.479,69|42|1|6|21|47|41|0|49|5|70|9|62|43
0,5,15,0.48,69|42|1|6|21|47|41|0|49|5|70|9|62|43|46
0,5,16,0.482,69|42|1|6|21|47|41|0|49|5|70|9|62|43|46|13
0,5,17,0.484,69|42|1|6|21|47|41|0|49|5|70|9|62|43|46|13|17
0,5,18,0.485,69|42|1|6|21|47|41|0|49|5|70|9|62|43|46|13|17|33
0,5,19,0.487,69|42|1|6|21|47|41|0|49|5|70|9|62|43|46|13|17|33|52
0,5,20,0.491,69|42|1|6|21|47|41|0|49|5|70|9|62|43|46|13|17|33|52|68
0,6,1,0.57,69
0,6,2,0.57,69|42
0,6,3,0.571,69|42|1
0,6,4,0.571,69|42|1|6
0,6,5,0.571,69|42|1|6|21
0,6,6,0.572,69|42|1|6|21|47
0,6,7,0.572,69|42|1|6|21|47|0
0,6,8,0.572,69|42|1|6|21|47|0|5
0,6,9,0.572,69|42|1|6|21|47|0|5|41
0,6,10,0.573,69|42|1|6|21|47|0|5|41|49
0,6,11,0.577,69|42|1|6|21|47|0|5|41|49|70
0,6,12,0.577,69|42|1|6|21|47|0|5|41|49|70|9
0,6,13,0.581,69|42|1|6|21|47|0|5|41|49|70|9|62
0,6,14,0.584,69|42|1|6|21|47|0|5|41|49|70|9|62|43
0,6,15,0.585,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13
0,6,16,0.583,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|17
0,6,17,0.584,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|17|33
0,6,18,0.588,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|17|33|46
0,6,19,0.589,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|17|33|46|68
0,6,20,0.592,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|17|33|46|68|37
0,7,1,0.474,69
0,7,2,0.474,69|42
0,7,3,0.482,69|42|1
0,7,4,0.482,69|42|1|6
0,7,5,0.482,69|42|1|6|21
0,7,6,0.512,69|42|1|6|21|49
0,7,7,0.513,69|42|1|6|21|49|47
0,7,8,0.537,69|42|1|6|21|49|47|41
0,7,9,0.537,69|42|1|6|21|49|47|41|0
0,7,10,0.537,69|42|1|6|21|49|47|41|0|5
0,7,11,0.543,69|42|1|6|21|49|47|41|0|5|70
0,7,12,0.543,69|42|1|6|21|49|47|41|0|5|70|9
0,7,13,0.544,69|42|1|6|21|49|47|41|0|5|70|9|62
0,7,14,0.547,69|42|1|6|21|49|47|41|0|5|70|9|62|43
0,7,15,0.547,69|42|1|6|21|49|47|41|0|5|70|9|62|43|59
0,7,16,0.547,69|42|1|6|21|49|47|41|0|5|70|9|62|43|59|46
0,7,17,0.549,69|42|1|6|21|49|47|41|0|5|70|9|62|43|59|46|52
0,7,18,0.551,69|42|1|6|21|49|47|41|0|5|70|9|62|43|59|46|52|17
0,7,19,0.552,69|42|1|6|21|49|47|41|0|5|70|9|62|43|59|46|52|17|33
0,7,20,0.553,69|42|1|6|21|49|47|41|0|5|70|9|62|43|59|46|52|17|33|68
0,8,1,0.447,69
0,8,2,0.447,69|42
0,8,3,0.454,69|42|1
0,8,4,0.454,69|42|1|6
0,8,5,0.454,69|42|1|6|21
0,8,6,0.454,69|42|1|6|21|47
0,8,7,0.455,69|42|1|6|21|47|0
0,8,8,0.459,69|42|1|6|21|47|0|5
0,8,9,0.459,69|42|1|6|21|47|0|5|41
0,8,10,0.461,69|42|1|6|21|47|0|5|41|49
0,8,11,0.462,69|42|1|6|21|47|0|5|41|49|70
0,8,12,0.462,69|42|1|6|21|47|0|5|41|49|70|9
0,8,13,0.464,69|42|1|6|21|47|0|5|41|49|70|9|62
0,8,14,0.468,69|42|1|6|21|47|0|5|41|49|70|9|62|43
0,8,15,0.476,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13
0,8,16,0.479,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|46
0,8,17,0.484,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|46|40
0,8,18,0.485,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|46|40|37
0,8,19,0.484,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|46|40|37|50
0,8,20,0.486,69|42|1|6|21|47|0|5|41|49|70|9|62|43|13|46|40|37|50|65
0,9,1,0.529,49
0,9,2,0.529,49|42
0,9,3,0.529,49|42|69
0,9,4,0.53,49|42|69|21
0,9,5,0.53,49|42|69|21|1
0,9,6,0.53,49|42|69|21|1|6
0,9,7,0.53,49|42|69|21|1|6|47
0,9,8,0.548,49|42|69|21|1|6|47|41
0,9,9,0.549,49|42|69|21|1|6|47|41|0
0,9,10,0.549,49|42|69|21|1|6|47|41|0|5
0,9,11,0.55,49|42|69|21|1|6|47|41|0|5|70
0,9,12,0.55,49|42|69|21|1|6|47|41|0|5|70|62
0,9,13,0.554,49|42|69|21|1|6|47|41|0|5|70|62|9
0,9,14,0.582,49|42|69|21|1|6|47|41|0|5|70|62|9|17
0,9,15,0.592,49|42|69|21|1|6|47|41|0|5|70|62|9|17|33
0,9,16,0.594,49|42|69|21|1|6|47|41|0|5|70|62|9|17|33|68
0,9,17,0.594,49|42|69|21|1|6|47|41|0|5|70|62|9|17|33|68|59
0,9,18,0.596,49|42|69|21|1|6|47|41|0|5|70|62|9|17|33|68|59|43
0,9,19,0.597,49|42|69|21|1|6|47|41|0|5|70|62|9|17|33|68|59|43|52
0,9,20,0.601,49|42|69|21|1|6|47|41|0|5|70|62|9|17|33|68|59|43|52|53
0,10,1,0.487,40
0,10,2,0.497,40|13
0,10,3,0.499,40|13|5
0,10,4,0.5,40|13|5|6
0,10,5,0.5,40|13|5|6|21
0,10,6,0.5,40|13|5|6|21|1
0,10,7,0.501,40|13|5|6|21|1|47
0,10,8,0.501,40|13|5|6|21|1|47|69
0,10,9,0.501,40|13|5|6|21|1|47|69|42
0,10,10,0.501,40|13|5|6|21|1|47|69|42|0
0,10,11,0.504,40|13|5|6|21|1|47|69|42|0|49
0,10,12,0.506,40|13|5|6|21|1|47|69|42|0|49|46
0,10,13,0.507,40|13|5|6|21|1|47|69|42|0|49|46|41
0,10,14,0.509,40|13|5|6|21|1|47|69|42|0|49|46|41|70
0,10,15,0.501,40|13|5|6|21|1|47|69|42|0|49|46|41|70|9
0,10,16,0.514,40|13|5|6|21|1|47|69|42|0|49|46|41|70|9|43
0,10,17,0.525,40|13|5|6|21|1|47|69|42|0|49|46|41|70|9|43|8
0,10,18,0.526,40|13|5|6|21|1|47|69|42|0|49|46|41|70|9|43|8|12
0,10,19,0.527,40|13|5|6|21|1|47|69|42|0|49|46|41|70|9|43|8|12|62
0,10,20,0.529,40|13|5|6|21|1|47|69|42|0|49|46|41|70|9|43|8|12|62|11
0,11,1,0.377,49
0,11,2,0.412,49|6
0,11,3,0.412,49|6|1
0,11,4,0.412,49|6|1|21
0,11,5,0.412,49|6|1|21|47
0,11,6,0.414,49|6|1|21|47|0
0,11,7,0.414,49|6|1|21|47|0|42
0,11,8,0.414,49|6|1|21|47|0|42|69
0,11,9,0.419,49|6|1|21|47|0|42|69|5
0,11,10,0.417,49|6|1|21|47|0|42|69|5|41
0,11,11,0.433,49|6|1|21|47|0|42|69|5|41|70
0,11,12,0.439,49|6|1|21|47|0|42|69|5|41|70|9
0,11,13,0.44,49|6|1|21|47|0|42|69|5|41|70|9|62
0,11,14,0.47,49|6|1|21|47|0|42|69|5|41|70|9|62|33
0,11,15,0.472,49|6|1|21|47|0|42|69|5|41|70|9|62|33|59
0,11,16,0.472,49|6|1|21|47|0|42|69|5|41|70|9|62|33|59|68
0,11,17,0.471,49|6|1|21|47|0|42|69|5|41|70|9|62|33|59|68|17
0,11,18,0.473,49|6|1|21|47|0|42|69|5|41|70|9|62|33|59|68|17|14
0,11,19,0.474,49|6|1|21|47|0|42|69|5|41|70|9|62|33|59|68|17|14|55
0,11,20,0.476,49|6|1|21|47|0|42|69|5|41|70|9|62|33|59|68|17|14|55|23
1,0,1,0.443,49
1,0,2,0.443,49|42
1,0,3,0.443,49|42|69
1,0,4,0.46,49|42|69|41
1,0,5,0.461,49|42|69|41|1
1,0,6,0.461,49|42|69|41|1|6
1,0,7,0.461,49|42|69|41|1|6|21
1,0,8,0.461,49|42|69|41|1|6|21|47
1,0,9,0.461,49|42|69|41|1|6|21|47|0
1,0,10,0.461,49|42|69|41|1|6|21|47|0|5
1,0,11,0.461,49|42|69|41|1|6|21|47|0|5|62
1,0,12,0.461,49|42|69|41|1|6|21|47|0|5|62|9
1,0,13,0.461,49|42|69|41|1|6|21|47|0|5|62|9|70
1,0,14,0.472,49|42|69|41|1|6|21|47|0|5|62|9|70|46
1,0,15,0.511,49|42|69|41|1|6|21|47|0|5|62|9|70|46|59
1,0,16,0.517,49|42|69|41|1|6|21|47|0|5|62|9|70|46|59|33
1,0,17,0.531,49|42|69|41|1|6|21|47|0|5|62|9|70|46|59|33|17
1,0,18,0.535,49|42|69|41|1|6|21|47|0|5|62|9|70|46|59|33|17|68
1,0,19,0.536,49|42|69|41|1|6|21|47|0|5|62|9|70|46|59|33|17|68|53
1,0,20,0.538,49|42|69|41|1|6|21|47|0|5|62|9|70|46|59|33|17|68|53|61
1,1,1,0.342,40
1,1,2,0.495,40|33
1,1,3,0.492,40|33|68
1,1,4,0.532,40|33|68|61
1,1,5,0.532,40|33|68|61|53
1,1,6,0.533,40|33|68|61|53|25
1,1,7,0.533,40|33|68|61|53|25|22
1,1,8,0.533,40|33|68|61|53|25|22|54
1,1,9,0.533,40|33|68|61|53|25|22|54|20
1,1,10,0.535,40|33|68|61|53|25|22|54|20|31
1,1,11,0.535,40|33|68|61|53|25|22|54|20|31|67
1,1,12,0.536,40|33|68|61|53|25|22|54|20|31|67|55
1,1,13,0.54,40|33|68|61|53|25|22|54|20|31|67|55|59
1,1,14,0.54,40|33|68|61|53|25|22|54|20|31|67|55|59|23
1,1,15,0.54,40|33|68|61|53|25|22|54|20|31|67|55|59|23|27
1,1,16,0.541,40|33|68|61|53|25|22|54|20|31|67|55|59|23|27|56
1,1,17,0.541,40|33|68|61|53|25|22|54|20|31|67|55|59|23|27|56|64
1,1,18,0.541,40|33|68|61|53|25|22|54|20|31|67|55|59|23|27|56|64|30
1,1,19,0.541,40|33|68|61|53|25|22|54|20|31|67|55|59|23|27|56|64|30|24
1,1,20,0.541,40|33|68|61|53|25|22|54|20|31|67|55|59|23|27|56|64|30|24|36
1,2,1,0.433,49
1,2,2,0.479,49|6
1,2,3,0.479,49|6|1
1,2,4,0.479,49|6|1|21
1,2,5,0.479,49|6|1|21|47
1,2,6,0.479,49|6|1|21|47|0
1,2,7,0.479,49|6|1|21|47|0|42
1,2,8,0.479,49|6|1|21|47|0|42|69
1,2,9,0.479,49|6|1|21|47|0|42|69|41
1,2,10,0.479,49|6|1|21|47|0|42|69|41|5
1,2,11,0.561,49|6|1|21|47|0|42|69|41|5|59
1,2,12,0.561,49|6|1|21|47|0|42|69|41|5|59|33
1,2,13,0.567,49|6|1|21|47|0|42|69|41|5|59|33|68
1,2,14,0.57,49|6|1|21|47|0|42|69|41|5|59|33|68|14
1,2,15,0.57,49|6|1|21|47|0|42|69|41|5|59|33|68|14|55
1,2,16,0.574,49|6|1|21|47|0|42|69|41|5|59|33|68|14|55|23
1,2,17,0.574,49|6|1|21|47|0|42|69|41|5|59|33|68|14|55|23|27
1,2,18,0.574,49|6|1|21|47|0|42|69|41|5|59|33|68|14|55|23|27|64
1,2,19,0.574,49|6|1|21|47|0|42|69|41|5|59|33|68|14|55|23|27|64|30
1,2,20,0.574,49|6|1|21|47|0|42|69|41|5|59|33|68|14|55|23|27|64|30|24
1,3,1,0.401,49
1,3,2,0.413,49|41
1,3,3,0.413,49|41|69
1,3,4,0.413,49|41|69|42
1,3,5,0.425,49|41|69|42|1
1,3,6,0.425,49|41|69|42|1|6
1,3,7,0.425,49|41|69|42|1|6|21
1,3,8,0.425,49|41|69|42|1|6|21|47
1,3,9,0.425,49|41|69|42|1|6|21|47|0
1,3,10,0.425,49|41|69|42|1|6|21|47|0|5
1,3,11,0.531,49|41|69|42|1|6|21|47|0|5|59
1,3,12,0.53,49|41|69|42|1|6|21|47|0|5|59|68
1,3,13,0.537,49|41|69|42|1|6|21|47|0|5|59|68|33
1,3,14,0.542,49|41|69|42|1|6|21|47|0|5|59|68|33|14
1,3,15,0.544,49|41|69|42|1|6|21|47|0|5|59|68|33|14|61
1,3,16,0.546,49|41|69|42|1|6|21|47|0|5|59|68|33|14|61|55
1,3,17,0.546,49|41|69|42|1|6|21|47|0|5|59|68|33|14|61|55|53
1,3,18,0.546,49|41|69|42|1|6|21|47|0|5|59|68|33|14|61|55|53|22
1,3,19,0.546,49|41|69|42|1|6|21|47|0|5|59|68|33|14|61|55|53|22|54
1,3,20,0.546,49|41|69|42|1|6|21|47|0|5|59|68|33|14|61|55|53|22|54|20
1,4,1,0.398,44
1,4,2,0.554,44|61
1,4,3,0.555,44|61|53
1,4,4,0.555,44|61|53|22
1,4,5,0.555,44|61|53|22|54
1,4,6,0.555,44|61|53|22|54|20
1,4,7,0.568,44|61|53|22|54|20|31
1,4,8,0.568,44|61|53|22|54|20|31|25
1,4,9,0.568,44|61|53|22|54|20|31|25|67
1,4,10,0.58,44|61|53|22|54|20|31|25|67|68
1,4,11,0.583,44|61|53|22|54|20|31|25|67|68|55
1,4,12,0.583,44|61|53|22|54|20|31|25|67|68|55|23
1,4,13,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64
1,4,14,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27
1,4,15,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27|30
1,4,16,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27|30|24
1,4,17,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27|30|24|32
1,4,18,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27|30|24|32|28
1,4,19,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27|30|24|32|28|36
1,4,20,0.583,44|61|53|22|54|20|31|25|67|68|55|23|64|27|30|24|32|28|36|58
1,5,1,0.401,49
1,5,2,0.436,49|6
